name,description,price,stock
phentermine,Weight Loss,8.7,2934
bupropion / naltrexone,Weight Loss,6.6,2013
Contrave,Weight Loss,6.6,1939
liraglutide,Weight Loss,7.6,1711
escitalopram,Anxiety,7.4,1471
Saxenda,Weight Loss,7.5,1377
bisacodyl,Constipation,5.2,1357
bupropion,Depression,7,1334
nitrofurantoin,UTI,4.2,1242
sertraline,Depression,6.8,1209
buspirone,Anxiety,5.8,1034
zolpidem,Insomnia,6.9,1008
venlafaxine,Depression,6,1004
isotretinoin,Acne,8,999
lamotrigine,Bipolar Disorder,8,970
Dulcolax,Constipation,5.2,960
dulaglutide,Diabetes (Type 2),5.2,914
adapalene / benzoyl peroxide,Acne,7.3,909
Lexapro,Anxiety,7.5,899
